data,precip,maxima,minima,horas_insol,temp_media,um_relativa,vel_vento
01/01/1961,8.6,39.5,13.4,4.3,18.2,75.8,2.6
02/01/1961,2.4,25.0,19.9,11.9,14.7,79.1,1.6
03/01/1961,10.1,23.3,14.5,9.8,24.0,78.8,2.0
04/01/1961,18.6,22.1,15.8,7.3,17.7,83.7,1.6
05/01/1961,1.5,27.3,15.3,4.5,16.0,66.2,1.2
06/01/1961,1.5,27.3,11.3,2.3,11.3,62.7,1.6
07/01/1961,19.2,30.6,14.8,3.9,27.8,92.0,2.9
08/01/1961,11.3,19.8,13.4,8.5,12.0,88.0,2.6
09/01/1961,0.0,23.3,12.3,0.0,21.0,83.3,5.8
10/01/1961,9.1,36.7,10.5,13.1,22.8,77.0,4.0
11/01/1961,0.0,26.4,15.2,10.9,17.7,65.2,0.0
12/01/1961,0.0,24.1,18.7,10.8,21.6,81.3,3.3
13/01/1961,6.1,19.8,21.1,8.4,22.0,66.2,6.2
14/01/1961,0.0,28.0,8.9,6.4,23.7,87.6,3.7
15/01/1961,0.0,31.0,23.4,7.5,22.5,62.4,1.0
16/01/1961,0.0,30.1,17.1,4.6,18.1,76.2,3.4
17/01/1961,0.0,23.7,10.2,14.4,17.6,83.3,1.6
18/01/1961,6.8,27.2,13.7,5.5,29.6,80.8,0.5
19/01/1961,0.0,34.7,6.6,4.1,24.9,86.8,2.3
20/01/1961,0.0,31.2,7.8,5.0,16.2,66.0,4.1
21/01/1961,18.1,20.7,24.0,3.2,21.2,82.9,3.9
22/01/1961,1.6,10.6,12.3,9.2,21.5,72.7,1.8
23/01/1961,4.4,26.8,18.3,4.0,19.5,77.8,1.3
24/01/1961,0.0,29.7,15.1,5.5,28.2,55.7,4.4
25/01/1961,0.0,18.9,15.7,11.3,19.1,87.8,4.0
26/01/1961,4.8,25.1,17.4,10.2,19.2,65.2,1.5
27/01/1961,0.0,23.6,5.6,2.0,23.6,79.7,1.1
28/01/1961,7.4,25.7,22.0,10.7,15.0,91.1,2.2
29/01/1961,0.0,22.0,15.2,0.4,17.0,100.0,1.0
30/01/1961,0.9,32.5,13.2,0.1,26.8,84.7,4.4
31/01/1961,0.0,26.0,17.9,4.7,19.4,82.4,1.7
01/02/1961,21.9,20.1,12.2,7.2,15.6,85.8,4.7
02/02/1961,3.6,30.4,16.7,5.1,20.4,70.8,0.6
03/02/1961,0.0,17.9,14.9,7.7,20.3,76.3,0.5
04/02/1961,11.8,32.5,19.1,4.5,26.1,85.7,2.2
05/02/1961,0.0,30.8,14.6,0.0,24.9,73.9,2.3
06/02/1961,5.8,33.1,10.7,5.3,20.6,55.5,2.0
07/02/1961,0.0,24.2,17.4,0.0,27.7,89.9,0.9
08/02/1961,0.0,22.3,14.4,6.0,25.8,84.0,1.7
09/02/1961,5.7,25.6,6.8,1.1,21.3,63.5,1.3
10/02/1961,11.0,24.6,16.6,8.1,15.4,63.4,0.0
11/02/1961,5.4,21.4,13.1,11.4,28.4,79.8,1.3
12/02/1961,2.6,22.0,17.3,0.0,25.8,100.0,1.6
13/02/1961,0.8,23.0,11.5,0.0,13.7,76.9,0.0
14/02/1961,0.0,18.4,9.8,4.8,16.7,70.0,3.4
15/02/1961,0.0,29.0,21.4,10.5,13.1,56.3,4.6
16/02/1961,0.0,24.8,19.7,6.6,14.3,80.2,2.1
17/02/1961,14.1,23.4,15.6,4.3,25.8,83.7,0.0
18/02/1961,7.1,18.8,17.8,1.8,20.0,72.4,1.7
19/02/1961,0.0,18.5,19.6,8.9,16.3,74.4,1.9
20/02/1961,6.9,36.2,15.6,12.1,23.3,72.9,2.4
21/02/1961,0.0,21.5,9.8,0.0,23.7,65.2,4.8
22/02/1961,0.0,28.6,17.1,7.2,26.1,65.6,0.5
23/02/1961,9.7,26.1,20.5,16.0,22.6,45.9,2.6
24/02/1961,13.8,9.3,18.5,3.6,22.7,64.4,3.3
25/02/1961,12.9,35.4,15.9,5.3,15.6,80.6,3.2
26/02/1961,0.0,29.0,18.4,5.9,20.1,65.8,3.8
27/02/1961,0.7,20.7,14.6,4.4,19.4,80.8,2.1
28/02/1961,7.0,25.0,20.7,10.3,8.1,57.3,2.0
01/03/1961,13.3,18.6,22.2,13.1,21.3,80.3,2.4
02/03/1961,0.0,35.6,9.4,0.0,11.2,69.5,2.1
03/03/1961,1.9,19.9,21.1,2.3,23.1,69.0,0.9
04/03/1961,0.0,22.1,26.5,10.9,17.7,90.6,2.4
05/03/1961,0.0,21.0,18.2,8.4,17.8,50.4,2.8
06/03/1961,11.7,25.6,20.4,7.7,17.1,82.3,1.3
07/03/1961,17.0,33.0,12.5,8.8,16.6,84.9,2.8
08/03/1961,3.1,35.3,13.2,6.4,18.5,72.7,1.0
09/03/1961,13.6,22.9,14.6,7.9,24.1,60.6,1.6
10/03/1961,7.3,27.3,13.7,4.7,14.3,77.0,1.8
11/03/1961,0.0,25.6,9.3,5.1,19.6,71.1,3.7
12/03/1961,7.3,19.5,14.8,5.6,29.9,87.6,2.5
13/03/1961,18.8,39.0,19.7,4.4,16.3,85.8,3.3
14/03/1961,3.4,32.9,9.4,7.9,19.5,76.2,2.5
15/03/1961,19.0,26.2,16.5,7.2,23.7,64.5,2.8
16/03/1961,0.0,34.2,16.4,0.0,30.3,74.9,1.7
17/03/1961,11.8,32.1,14.2,5.2,27.2,77.8,2.1
18/03/1961,4.6,25.6,18.1,6.1,18.9,74.7,3.6
19/03/1961,0.8,27.0,17.6,12.0,21.5,73.6,0.0
20/03/1961,4.7,33.8,13.9,4.9,18.6,69.5,2.1
21/03/1961,0.0,19.7,20.8,6.4,24.9,62.3,2.4
22/03/1961,1.6,34.7,18.4,5.7,19.0,73.6,2.9
23/03/1961,7.2,23.8,23.3,11.2,27.9,77.7,2.4
24/03/1961,18.2,33.8,15.3,1.3,10.1,77.1,2.2
25/03/1961,0.0,25.1,14.1,2.9,22.6,75.7,0.5
26/03/1961,0.0,27.1,14.7,2.7,23.3,55.2,1.3
27/03/1961,0.0,24.9,21.4,6.1,7.2,67.5,4.0
28/03/1961,12.7,22.1,14.9,0.1,11.6,89.4,4.6
29/03/1961,7.0,23.6,15.2,11.8,26.0,83.9,3.1
30/03/1961,0.0,33.0,25.2,7.7,22.1,74.5,0.9
31/03/1961,8.8,11.9,9.2,8.3,23.5,77.0,3.4
01/04/1961,4.7,18.1,17.4,14.3,27.8,63.9,3.1
02/04/1961,13.2,21.0,15.4,4.7,17.9,64.4,0.9
03/04/1961,0.0,19.0,14.4,9.4,27.8,68.6,2.1
04/04/1961,0.6,33.8,11.0,8.3,33.9,72.7,7.0
05/04/1961,0.0,32.3,12.4,12.1,25.8,70.3,3.0
06/04/1961,0.0,28.5,13.7,8.7,21.7,77.7,1.7
07/04/1961,6.7,21.5,18.1,4.0,19.3,76.8,0.7
08/04/1961,6.3,32.8,19.8,7.7,20.6,78.5,2.3
09/04/1961,3.8,16.1,7.1,3.5,20.4,55.0,3.2
10/04/1961,1.5,37.4,9.8,4.2,19.7,100.0,6.0
11/04/1961,0.0,21.2,18.3,6.0,14.2,79.4,3.3
12/04/1961,0.0,23.6,18.7,5.3,21.7,72.3,2.7
13/04/1961,0.4,22.7,8.6,2.5,20.7,71.8,3.8
14/04/1961,0.0,19.0,19.9,0.0,26.3,76.2,0.0
15/04/1961,2.2,36.1,15.6,7.2,22.4,71.0,0.1
16/04/1961,7.7,29.6,19.3,7.5,16.0,67.8,2.1
17/04/1961,22.2,32.1,11.5,7.5,14.2,75.3,2.5
18/04/1961,5.5,18.1,8.9,13.5,19.6,85.6,0.0
19/04/1961,6.3,26.2,14.2,0.0,15.3,75.2,5.3
20/04/1961,3.0,28.1,14.4,12.1,20.3,78.2,0.9
21/04/1961,0.0,26.7,14.1,15.8,16.3,87.1,0.1
22/04/1961,3.5,18.5,13.8,13.0,25.9,85.2,3.0
23/04/1961,4.3,31.3,23.9,4.6,22.5,94.9,5.5
24/04/1961,27.8,25.8,7.4,7.8,24.5,59.5,0.0
25/04/1961,1.9,19.7,11.6,3.0,18.8,66.1,3.1
26/04/1961,6.7,14.5,13.6,3.4,20.6,66.7,0.0
27/04/1961,3.4,28.6,15.8,12.8,24.1,56.9,2.4
28/04/1961,0.0,39.1,19.1,8.8,21.4,67.6,0.0
29/04/1961,14.9,19.3,19.8,9.0,23.1,83.6,0.7
30/04/1961,11.1,26.1,20.9,1.6,16.3,91.3,2.4
01/05/1961,11.5,31.5,18.0,0.2,23.8,80.5,3.6
02/05/1961,0.0,17.9,7.3,10.2,16.7,97.0,3.4
03/05/1961,17.5,22.4,7.6,7.7,29.8,67.1,3.4
04/05/1961,0.0,20.2,21.2,4.8,20.5,84.9,1.7
05/05/1961,9.5,30.8,20.9,12.9,25.0,83.6,1.5
06/05/1961,25.2,32.7,18.7,8.4,17.4,78.3,2.7
07/05/1961,0.0,26.0,11.7,2.7,18.5,75.1,1.7
08/05/1961,0.0,20.3,14.1,0.0,18.3,73.2,2.2
09/05/1961,4.7,22.6,13.7,8.4,11.0,85.4,2.2
10/05/1961,0.0,21.5,10.7,4.2,6.7,81.5,3.6
11/05/1961,0.0,19.5,16.9,5.5,18.2,79.9,1.9
12/05/1961,4.4,24.5,26.1,5.1,10.3,82.1,2.6
13/05/1961,0.0,28.4,13.3,11.7,21.0,75.5,1.9
14/05/1961,8.4,27.9,21.9,9.3,18.8,84.9,0.0
15/05/1961,0.0,25.1,11.4,5.6,5.8,68.7,2.8
16/05/1961,18.9,25.5,8.2,5.5,17.0,77.4,0.7
17/05/1961,0.0,24.7,20.4,7.2,19.5,75.8,2.1
18/05/1961,0.6,17.7,14.6,11.2,26.5,74.0,1.8
19/05/1961,11.7,26.0,21.8,6.3,17.4,77.1,2.8
20/05/1961,0.0,21.8,22.8,3.8,11.5,69.8,0.1
21/05/1961,6.0,17.4,14.3,1.3,10.9,100.0,4.2
22/05/1961,16.5,27.2,22.2,5.7,17.0,89.2,2.6
23/05/1961,0.0,21.6,11.4,1.3,14.8,89.1,1.8
24/05/1961,5.6,26.4,11.3,7.4,18.6,83.2,2.2
25/05/1961,6.3,30.0,20.8,7.8,20.4,86.8,3.8
26/05/1961,11.4,19.7,8.2,10.7,22.2,86.6,2.2
27/05/1961,0.0,25.7,15.7,5.2,22.4,73.3,2.0
28/05/1961,0.0,14.8,21.7,10.1,16.6,73.1,2.3
29/05/1961,8.9,33.9,22.0,12.4,22.7,67.6,3.4
